INFO 2021-05-26 10:55:35,421 basehttp 154 "GET /static/js/host.js HTTP/1.1" 200 115
INFO 2021-05-26 10:55:35,422 basehttp 154 "GET /static/css/main.css HTTP/1.1" 200 39715
INFO 2021-05-26 10:55:35,423 basehttp 154 "GET /static/js/jquery-1.12.4.min.js HTTP/1.1" 200 97163
INFO 2021-05-26 10:55:35,425 basehttp 154 "GET /static/js/slide.js HTTP/1.1" 200 1820
INFO 2021-05-26 10:55:35,428 basehttp 154 "GET /static/js/vue-2.5.16.js HTTP/1.1" 200 289303
WARNING 2021-05-26 10:55:35,476 log 228 Not Found: /js/index.js
WARNING 2021-05-26 10:55:35,479 log 228 Not Found: /index/images/logo.png
WARNING 2021-05-26 10:55:35,483 basehttp 154 "GET /js/index.js HTTP/1.1" 404 5826
WARNING 2021-05-26 10:55:35,487 basehttp 154 "GET /index/images/logo.png HTTP/1.1" 404 5856
WARNING 2021-05-26 10:55:35,493 log 228 Not Found: /images/goods/goods001.jpg
WARNING 2021-05-26 10:55:35,494 basehttp 154 "GET /images/goods/goods001.jpg HTTP/1.1" 404 5868
WARNING 2021-05-26 10:55:35,497 log 228 Not Found: /images/goods/goods003.jpg
WARNING 2021-05-26 10:55:35,498 basehttp 154 "GET /images/goods/goods003.jpg HTTP/1.1" 404 5868
WARNING 2021-05-26 10:55:35,500 log 228 Not Found: /images/goods/goods002.jpg
WARNING 2021-05-26 10:55:35,501 basehttp 154 "GET /static/js/axios.min.map HTTP/1.1" 404 1672
WARNING 2021-05-26 10:55:35,502 basehttp 154 "GET /images/goods/goods002.jpg HTTP/1.1" 404 5868
WARNING 2021-05-26 10:55:35,504 basehttp 154 "GET /static/images/icons.png HTTP/1.1" 404 1672
INFO 2021-05-26 10:57:28,012 autoreload 217 D:\Pycharm-project\untitled\meiduo\meiduo_mall\meiduo_mall\settings.py changed, reloading.
INFO 2021-05-26 10:57:28,805 autoreload 597 Watching for file changes with StatReloader
INFO 2021-05-26 10:57:32,575 basehttp 154 "GET /index/ HTTP/1.1" 200 112144
WARNING 2021-05-26 10:57:32,609 log 228 Not Found: /static/css/reset.css
WARNING 2021-05-26 10:57:32,611 log 228 Not Found: /static/js/jquery-1.12.4.min.js
WARNING 2021-05-26 10:57:32,612 log 228 Not Found: /static/js/axios-0.18.0.min.js
WARNING 2021-05-26 10:57:32,613 log 228 Not Found: /static/css/main.css
WARNING 2021-05-26 10:57:32,613 basehttp 154 "GET /static/css/reset.css HTTP/1.1" 404 77
WARNING 2021-05-26 10:57:32,617 basehttp 154 "GET /static/js/jquery-1.12.4.min.js HTTP/1.1" 404 77
WARNING 2021-05-26 10:57:32,617 basehttp 154 "GET /static/js/axios-0.18.0.min.js HTTP/1.1" 404 77
WARNING 2021-05-26 10:57:32,618 log 228 Not Found: /static/js/host.js
WARNING 2021-05-26 10:57:32,620 log 228 Not Found: /static/js/slide.js
WARNING 2021-05-26 10:57:32,621 basehttp 154 "GET /static/css/main.css HTTP/1.1" 404 77
WARNING 2021-05-26 10:57:32,622 log 228 Not Found: /static/js/vue-2.5.16.js
WARNING 2021-05-26 10:57:32,624 basehttp 154 "GET /static/js/host.js HTTP/1.1" 404 77
WARNING 2021-05-26 10:57:32,625 basehttp 154 "GET /static/js/slide.js HTTP/1.1" 404 77
